problem_id,year,version,problem_num,contest_label,slug,problem_url,contest_url,category
1098,2021,Fall A,23,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_23,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1099,2021,Fall A,24,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_24,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1100,2021,Fall A,25,2021 Fall AMC 10A,2021_Fall_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems/Problem_25,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10A_Problems,
1101,2021,Fall B,1,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1102,2021,Fall B,2,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1103,2021,Fall B,3,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1104,2021,Fall B,4,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1105,2021,Fall B,5,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1106,2021,Fall B,6,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1107,2021,Fall B,7,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1108,2021,Fall B,8,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1109,2021,Fall B,9,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1110,2021,Fall B,10,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1111,2021,Fall B,11,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1112,2021,Fall B,12,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1113,2021,Fall B,13,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1114,2021,Fall B,14,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1115,2021,Fall B,15,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1116,2021,Fall B,16,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1117,2021,Fall B,17,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1118,2021,Fall B,18,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1119,2021,Fall B,19,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_19,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1120,2021,Fall B,20,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_20,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1121,2021,Fall B,21,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_21,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1122,2021,Fall B,22,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_22,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1123,2021,Fall B,23,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_23,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1124,2021,Fall B,24,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_24,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1125,2021,Fall B,25,2021 Fall AMC 10B,2021_Fall_AMC_10B,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems/Problem_25,https://artofproblemsolving.com/wiki/index.php/2021_Fall_AMC_10B_Problems,
1126,2022,A,1,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_1,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1127,2022,A,2,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_2,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1128,2022,A,3,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_3,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1129,2022,A,4,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_4,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1130,2022,A,5,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_5,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1131,2022,A,6,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_6,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1132,2022,A,7,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_7,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1133,2022,A,8,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_8,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1134,2022,A,9,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_9,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1135,2022,A,10,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_10,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1136,2022,A,11,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_11,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1137,2022,A,12,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_12,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1138,2022,A,13,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_13,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1139,2022,A,14,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_14,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1140,2022,A,15,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_15,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1141,2022,A,16,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_16,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1142,2022,A,17,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_17,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
1143,2022,A,18,2022 AMC 10A,2022_AMC_10A,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems/Problem_18,https://artofproblemsolving.com/wiki/index.php/2022_AMC_10A_Problems,
